Hours_Studied,Attendance,Previous_Score,Assignments_Completed,Pass
7.7,41,65,3,0
8.8,83,99,1,1
0.4,45,57,3,0
0.3,52,99,6,1
7.1,91,30,2,0
4.1,49,57,5,0
4.6,62,74,9,1
0.5,69,98,1,1
4.5,75,67,10,1
10.3,76,54,1,0
2.7,58,40,3,0
4.6,69,76,2,0
2.5,57,39,9,1
6.4,55,50,7,0
11.9,80,58,10,1
9.2,43,59,0,0
4.8,44,57,9,1
3.8,81,93,6,1
7.7,49,63,2,0
6.7,56,84,9,1
2.6,48,95,7,1
0.6,47,49,10,0
8.2,78,38,6,0
12.0,73,62,8,1
0.1,86,44,10,1
9.0,89,73,1,0
1.9,40,63,8,1
6.1,46,68,10,1
2.4,63,50,8,1
11.1,98,30,9,1
0.2,99,76,4,1
2.9,76,40,1,0
9.8,88,98,2,1
5.7,75,51,4,0
7.3,53,99,3,1
4.8,82,77,7,1
5.4,55,58,1,0
7.1,54,58,0,0
7.6,54,38,0,0
0.9,55,65,10,1
6.5,86,90,3,1
9.7,52,42,1,0
4.3,66,89,0,0
11.8,46,37,6,0
9.6,46,61,3,0
5.4,67,53,4,0
10.5,44,86,8,1
7.8,74,31,1,0
10.2,50,82,7,1
10.4,97,37,2,0
11.8,56,88,4,1
11.5,90,92,2,1
2.6,43,99,0,0
0.7,77,91,8,1
6.4,43,95,1,1
0.8,44,60,6,0
10.7,55,35,9,0
7.9,76,96,5,1
2.5,85,70,3,0
1.6,81,68,7,1
9.0,44,31,7,0
6.8,46,39,8,0
3.2,99,74,1,1
4.4,50,86,8,1
7.3,91,97,0,1
6.7,99,43,2,0
10.7,87,100,2,1
7.3,85,73,3,1
10.2,72,92,4,1
10.2,45,84,4,0
4.0,48,63,2,0
6.6,67,31,1,0
10.6,97,49,8,1
4.4,75,48,6,0
3.7,97,35,5,0
3.0,46,75,8,1
4.9,79,49,3,0
11.7,91,52,6,0
8.8,61,82,10,1
9.7,57,50,1,0
0.5,70,58,3,0
5.5,59,59,3,0
2.3,61,65,1,0
3.3,81,95,6,1
10.1,61,33,1,0
3.1,77,63,0,0
5.2,86,70,6,1
6.1,64,54,4,0
5.2,73,98,10,1
8.9,82,55,5,1
11.4,98,72,9,1
10.2,86,68,8,1
4.9,65,67,8,1
5.0,100,78,10,1
2.1,76,68,6,1
0.0,58,56,6,1
7.3,60,89,7,1
2.6,70,51,10,1
6.2,80,72,1,1
9.0,83,69,3,1
1.8,42,61,7,0
9.2,69,83,10,1
8.6,64,93,6,1
7.9,40,43,6,0
9.6,84,96,7,1
3.0,94,45,7,0
5.6,73,70,7,1
8.6,72,84,8,1
1.9,95,90,7,1
3.0,80,65,8,1
2.9,68,39,4,0
4.0,97,99,1,1
2.8,84,49,3,0
4.9,74,89,6,1
10.0,64,32,9,0
0.1,62,68,6,1
11.4,66,98,8,1
10.8,71,58,4,0
0.3,61,81,2,1
11.0,79,98,0,1
7.1,82,33,1,0
1.6,69,53,0,0
3.9,69,71,5,1
4.5,88,83,4,1
5.6,87,99,0,1
4.2,81,38,10,0
0.4,55,55,0,0
2.9,70,44,9,1
5.6,56,77,2,0
11.6,85,44,2,0
1.3,41,69,9,1
11.5,65,55,1,0
10.0,55,43,4,0
7.2,47,35,5,0
7.9,44,94,10,1
10.2,92,92,1,1
4.3,97,88,2,1
8.8,81,64,9,1
6.5,70,89,6,1
7.1,60,61,1,0
5.4,88,89,9,1
4.5,41,93,5,0
2.5,91,63,5,1
7.2,96,65,8,1
11.4,45,60,6,0
9.1,84,90,10,1
5.4,41,41,4,0
8.3,59,77,7,1
4.1,87,100,5,1
5.4,59,62,3,0
2.3,47,98,2,0
8.9,57,97,9,1
1.2,52,67,3,0
3.6,85,98,2,1
11.7,75,67,2,0
9.0,46,31,9,0
5.7,61,53,0,0
10.3,47,38,6,0
6.9,83,36,2,0
6.8,59,40,3,0
9.2,78,58,8,1
10.9,59,84,4,1
0.7,87,42,3,0
3.2,45,50,3,0
0.9,40,82,7,1
5.6,42,59,4,0
8.4,69,39,10,1
3.2,90,55,6,0
2.7,49,64,2,0
2.0,59,66,7,0
8.3,84,81,4,1
5.9,45,35,6,0
7.2,41,41,3,0
10.0,76,32,10,1
6.9,88,52,7,1
5.3,57,53,9,1
9.8,45,90,5,1
3.9,46,50,5,0
5.9,82,81,8,1
1.1,56,71,1,0
4.9,72,30,10,1
5.5,43,54,8,0
9.1,80,86,0,0
6.6,99,66,7,1
5.8,41,60,2,0
0.2,66,41,3,0
11.0,69,45,10,1
6.0,85,67,8,1
5.0,70,90,3,1
1.7,52,95,2,1
3.3,90,83,5,1
6.1,92,30,4,0
10.0,77,92,2,1
5.8,61,100,8,1
11.2,95,54,3,1
2.8,89,82,0,0
5.7,98,78,6,1
9.5,81,49,7,1
1.5,77,72,1,0
5.3,73,88,0,1
4.9,81,49,1,0
11.6,61,80,10,1
3.9,83,98,6,1
7.5,96,92,8,1
0.8,80,66,3,1
5.2,46,42,7,0
3.6,41,35,5,0
3.5,63,85,2,0
4.9,83,53,2,0
7.3,64,60,7,1
1.7,69,62,7,0
0.1,91,89,4,1
1.9,68,74,9,1
11.5,84,62,7,1
2.4,64,91,1,0
6.9,76,67,4,0
10.0,65,65,0,0
8.2,87,36,9,1
10.0,97,66,3,1
4.2,80,54,9,1
9.1,89,47,10,1
7.5,42,69,7,0
4.4,48,41,4,0
5.0,52,46,8,1
4.4,72,64,2,0
9.9,70,67,5,1
5.6,44,48,3,0
8.7,65,76,1,0
0.2,74,45,7,0
9.0,56,78,10,1
1.3,54,90,0,0
11.3,60,58,10,1
9.9,98,68,10,1
1.7,100,34,4,1
1.4,55,98,2,0
4.5,100,99,6,1
8.7,96,83,10,1
5.9,66,65,0,0
2.6,68,60,5,0
8.2,74,75,0,0
2.3,47,88,1,0
7.7,78,32,0,0
2.9,48,56,1,0
6.7,77,57,3,0
1.8,97,30,4,0
1.7,48,99,4,1
1.3,95,33,2,0
9.5,55,71,0,0
0.6,87,83,8,1
0.8,68,76,8,1
5.4,54,35,10,1
5.5,41,37,7,0
5.1,46,92,7,1
1.0,78,48,1,0
7.5,77,100,5,1
7.2,58,88,8,1
1.2,84,44,10,1
9.2,86,57,6,1
2.7,61,88,6,1
1.1,67,70,10,1
11.4,83,90,1,0
1.0,67,42,5,0
6.7,77,72,10,1
4.2,82,84,0,1
7.2,62,43,9,1
1.9,70,58,1,0
6.7,47,65,9,1
5.1,75,33,9,1
10.0,57,33,2,0
9.1,98,73,5,1
10.4,76,81,1,0
7.6,41,41,8,0
5.0,61,50,5,0
3.9,100,40,0,0
9.1,43,40,4,0
5.1,78,86,6,1
9.1,47,74,6,0
8.1,77,92,8,1
0.5,65,37,0,0
11.3,89,47,4,0
1.4,71,85,2,0
6.4,54,94,8,1
9.7,44,80,0,0
5.5,44,70,9,1
4.9,80,83,4,1
0.3,60,51,9,1
8.3,63,41,6,1
2.9,77,81,8,1
10.4,87,73,3,1
2.0,72,44,8,1
10.9,62,74,10,1
2.8,49,62,3,0
1.8,88,39,2,0
7.5,69,87,10,1
6.8,80,71,10,1
5.3,70,86,10,1
3.3,43,75,8,0
5.5,42,37,5,0
0.9,95,41,9,1
4.6,77,100,0,1
9.7,81,54,5,1
6.0,43,87,1,0
10.0,85,40,8,1
0.5,85,86,7,1
7.3,63,77,4,1
9.3,83,36,10,1
0.8,46,79,4,0
10.2,98,49,5,0
8.0,98,74,4,1
8.4,65,46,9,1
1.0,75,78,10,1
9.8,82,97,1,1
5.1,63,32,5,0
11.4,61,92,3,1
1.7,44,67,1,0
6.5,87,97,0,1
10.5,79,46,9,1
1.9,93,51,7,0
4.4,86,60,7,1
9.0,90,87,3,1
3.7,91,90,3,1
11.4,68,89,4,1
6.0,66,50,3,0
1.7,56,36,10,0
4.5,99,43,8,1
3.4,88,50,4,0
6.2,93,85,1,1
2.7,68,74,0,0
4.8,63,60,6,1
4.5,41,70,1,0
7.8,90,48,2,0
11.0,70,47,7,1
0.1,45,32,4,0
1.8,100,97,6,1
3.5,59,45,0,0
7.7,79,88,1,0
10.9,78,98,0,1
6.9,85,48,4,0
7.4,55,83,2,1
1.0,63,38,8,0
9.4,72,100,0,1
5.6,80,79,5,1
0.2,90,38,5,0
7.9,46,72,2,0
6.6,92,52,10,1
8.3,80,53,2,0
9.3,69,34,4,0
9.5,96,35,5,1
6.2,92,99,7,1
9.0,52,66,5,1
0.6,81,72,4,0
4.4,96,81,7,1
4.6,51,93,7,1
9.6,57,40,6,0
7.2,92,53,8,1
1.2,60,67,4,0
8.6,50,86,5,1
8.7,98,75,9,1
3.3,90,37,1,0
4.9,72,50,0,0
7.3,90,86,0,0
2.8,81,76,5,1
6.8,78,49,10,1
4.5,68,39,9,0
4.4,60,65,3,1
0.3,51,93,8,1
6.7,56,63,7,0
7.3,84,92,3,1
10.2,68,52,7,1
9.7,94,70,10,1
0.8,74,67,4,1
8.5,99,52,5,1
1.5,52,47,3,0
0.3,75,77,7,1
6.6,79,41,1,0
12.0,86,91,8,1
4.9,76,39,2,0
7.7,68,89,10,1
1.5,93,100,10,1
9.2,48,85,8,1
0.7,47,96,2,0
1.9,99,58,5,1
6.2,58,40,4,0
11.5,57,46,10,1
6.4,72,51,9,1
1.9,82,73,9,1
10.4,45,35,10,1
3.2,53,83,9,1
6.0,80,99,4,1
3.6,55,81,4,0
8.3,50,86,6,1
2.4,78,48,5,1
3.8,95,74,6,1
4.4,75,43,5,0
1.5,68,61,2,0
3.5,64,83,3,1
10.8,92,71,9,1
2.3,50,93,8,1
10.5,71,32,1,0
6.1,55,57,9,1
0.6,71,90,4,1
10.2,67,47,4,0
9.2,63,35,6,0
6.7,63,100,4,1
6.1,88,100,4,1
7.5,79,45,2,0
4.7,90,73,8,1
9.1,52,95,6,1
0.5,48,72,7,1
1.8,97,95,2,1
7.4,50,80,9,1
3.6,61,94,8,1
8.5,59,90,0,0
8.1,66,69,10,1
5.7,81,59,0,0
